employee_id,age,gender,department,position,education,years_at_company,monthly_income,performance_rating,job_satisfaction,work_life_balance,distance_from_home,overtime,promotion_last_5years,training_times_last_year,attrition
23,35,Male,Marketing,Mid-Level,Master,2.7729094795550377,100222.55138476318,4,3,1,6.388801262258722,No,1,3,0
24,23,Male,Marketing,Lead,PhD,2.2244957700503685,51189.119230239994,4,3,1,4.827393099252333,No,1,2,0
25,30,Male,R&D,Manager,High School,0.8774170505871931,78838.71595801853,4,2,3,2.8922780162020114,No,0,2,0
26,35,Male,R&D,Manager,PhD,1.910017334167902,78562.59556440414,4,2,1,9.26860090940602,No,0,0,1
27,25,Female,Engineering,Junior,High School,2.033193748063483,96240.48668626761,3,4,3,21.190313626271355,Yes,0,7,0
28,38,Male,R&D,Senior,PhD,0.6507724723505035,63903.541238766586,4,4,3,3.9254088759005707,Yes,1,5,0
29,30,Female,Finance,Director,Master,3.1674607625120954,60055.991680589286,3,4,1,5.045710983811219,No,0,1,0
30,32,Male,Marketing,Lead,Master,4.554946143803408,79224.99150777885,5,4,2,5.219295743250381,No,1,1,0
31,30,Male,Operations,Director,PhD,4.702924167572827,104533.98058133933,3,4,4,8.228284897679774,Yes,0,2,0
32,49,Female,Marketing,Junior,PhD,2.76745335049937,45015.57211475166,1,1,3,2.593006122837409,Yes,1,3,0
33,34,Female,Marketing,Senior,PhD,2.150098612958268,49379.846166571806,2,2,2,17.27158698633858,No,0,2,0
34,26,Male,Finance,Lead,High School,0.1888422205119214,61987.37730073529,4,5,3,3.5041213561946014,No,0,3,1
35,41,Male,R&D,Mid-Level,Master,1.0183213674624174,66435.57319796119,3,1,3,12.220101397158462,No,0,4,0
36,25,Female,Operations,Senior,High School,0.2937364603789884,30860.42993906213,3,4,2,7.199342556544686,No,0,3,0
37,36,Male,Finance,Manager,Master,9.958008504553863,112454.88217287869,5,2,3,8.816420008423332,No,1,9,0
38,19,Female,Engineering,Junior,Bachelor,0.4353552928176454,71742.3352162722,5,4,2,1.9797390475105658,No,1,3,0
39,24,Female,HR,Senior,High School,0.49382949414682675,67997.38689550072,3,4,3,13.281129971227731,Yes,0,4,1
40,36,Female,Marketing,Senior,Master,6.610300131236725,115565.93845088543,3,2,4,2.0901941697252475,No,0,1,0
41,40,Male,HR,Manager,Master,8.6433712661294,92944.83737809531,4,3,3,1.2044441632112663,No,0,4,0
42,36,Female,Finance,Lead,High School,4.355111486470857,61614.45306666628,5,4,2,7.911558978990509,Yes,0,1,0
43,34,Male,Finance,Mid-Level,High School,0.01625874935582481,79115.19613270389,4,3,1,12.354536225413671,No,0,4,0
44,32,Male,Finance,Manager,Master,0.0040415339804329275,73956.57169058803,4,2,3,0.5133101766196613,No,1,2,0
45,23,Male,HR,Mid-Level,High School,1.4249316260173974,111208.77142323193,3,4,3,0.7192070513395232,No,1,5,0
46,29,Male,Finance,Lead,PhD,0.46433642621489873,70814.39495791018,4,2,3,16.229242592945614,No,0,3,0
47,31,Female,Engineering,Senior,High School,0.05567180421784716,38948.51145354476,4,4,4,16.556530672012435,No,0,4,0
48,43,Female,Finance,Mid-Level,High School,1.8712366385490111,30000.0,4,3,3,2.8144120995476025,No,0,1,0
49,37,Female,Sales,Junior,High School,8.597371561817486,111879.0336851672,2,2,2,9.551048549769039,No,0,2,0
50,20,Male,R&D,Junior,Master,1.1738860125570323,55284.632555934244,5,4,1,5.855133860200312,Yes,0,3,0
51,37,Male,HR,Manager,PhD,3.2465107150367847,91755.29139083275,4,3,2,10.01565548658135,No,0,6,0
52,31,Male,Sales,Lead,Bachelor,3.168687990323425,76794.0857678763,3,3,3,19.86893603166316,No,0,5,0
53,29,Female,Finance,Manager,Bachelor,0.8673697460032276,64583.63030304357,4,3,3,0.8322556087850529,Yes,0,4,0
54,39,Male,Engineering,Manager,PhD,3.153113579535356,68503.81457492185,4,3,3,15.050077463653178,Yes,0,3,0
55,43,Female,Marketing,Director,PhD,0.7160433126021913,114584.44703823832,4,3,2,6.793016824056465,No,0,5,0
56,42,Male,Operations,Manager,PhD,0.3903513872763286,38798.41428392188,4,2,2,8.304042334444933,No,0,3,0
57,28,Male,R&D,Director,Master,3.6257832582635245,65338.61923110186,4,3,2,10.611181421460017,Yes,1,3,0
58,32,Female,Operations,Junior,Bachelor,0.361222186560507,97664.14401709253,5,3,3,25.590676274764938,Yes,1,5,0
59,37,Male,Finance,Junior,PhD,17.337994009015198,42921.3747888436,2,4,1,0.5839206647249598,No,1,5,1
60,42,Female,R&D,Manager,Master,0.6080102162032468,107932.07019443961,2,4,2,0.29919509976939435,Yes,0,3,0
61,31,Female,R&D,Junior,Bachelor,2.705254788289734,97306.24289384064,3,3,2,1.963334036124116,No,0,4,0
62,33,Male,Engineering,Lead,High School,1.5898957269073875,81794.89212830842,4,4,3,43.01200924831723,No,0,2,0
63,26,Male,R&D,Director,Master,0.4053513959826566,62421.077393143314,4,4,1,12.555340903315262,No,0,2,0
64,25,Male,HR,Director,Bachelor,0.08471669550777267,39710.846120401075,4,4,3,9.535802205841046,No,1,1,0
65,41,Female,Sales,Manager,Master,2.924400651031404,92676.14735335177,4,4,3,0.4818135561645904,Yes,0,3,0
66,45,Male,Sales,Junior,Bachelor,4.931429196595352,143716.1233620972,4,3,3,21.12876089808704,No,0,4,0
67,34,Female,Sales,Mid-Level,Bachelor,5.5357781229858904,78647.31339792145,5,4,3,16.75347256972402,Yes,0,1,0
68,43,Female,HR,Director,High School,1.9774750419264544,30000.0,3,1,2,10.930280412426095,No,0,3,0
69,37,Female,Operations,Manager,Master,4.507884149723351,86437.91225316869,4,3,2,4.14199364139464,No,1,5,0
70,29,Male,Engineering,Manager,PhD,3.3519832069019917,96506.57428502988,3,4,4,0.7311380326923167,Yes,0,1,0
71,37,Female,R&D,Lead,High School,3.864831119513501,52053.68920260157,4,1,3,8.675922097630675,No,0,4,0
72,47,Female,HR,Senior,High School,2.0353610138355096,58862.20184776511,4,2,4,12.718754541093029,No,0,1,0
73,34,Male,Sales,Senior,Bachelor,3.0105479062624925,56315.5442813427,4,4,3,0.9898129563659248,No,1,9,0
74,47,Male,Finance,Director,PhD,4.912369069659842,61715.903328407774,2,4,1,10.044873376932317,No,0,2,0
75,18,Female,Marketing,Lead,Master,1.5219163583183093,70695.92214304885,3,4,1,3.373851482402714,No,0,0,0
76,41,Male,R&D,Lead,PhD,4.9193651022541784,53477.47228766243,4,4,3,14.449588454458182,No,0,2,0
77,35,Female,HR,Lead,PhD,2.6895881603274474,44104.05646619438,4,2,2,7.756940306198454,No,1,3,0
78,32,Male,HR,Director,PhD,0.544209623551208,79359.38464187543,3,1,2,1.3815553931373175,No,0,1,1
79,35,Male,Engineering,Senior,PhD,0.07498175740148576,70433.44900340748,5,4,3,7.476444394977749,No,0,2,0
80,19,Female,Engineering,Lead,PhD,1.351796656927394,64093.955747079584,3,3,2,5.037455192405212,Yes,1,4,0
81,33,Male,HR,Junior,Bachelor,2.373579063378734,77079.74291803785,4,4,2,1.9888514063639784,No,1,1,0
82,37,Male,Sales,Manager,Bachelor,5.494377884661517,36995.6073610389,4,2,3,18.420998960252497,No,0,2,0
83,46,Male,Marketing,Manager,High School,0.40912863778058495,81580.073074919,4,3,3,0.11089712686324181,No,1,2,0
84,30,Male,R&D,Mid-Level,Bachelor,4.831410550381352,64607.79499276093,5,3,2,3.741529073832952,No,0,0,0
85,28,Male,Engineering,Mid-Level,High School,5.963521155065568,80987.23670281949,4,4,3,0.12675028022569676,No,1,2,0
86,30,Male,R&D,Director,High School,0.4899841949877143,84991.22763547419,4,3,3,1.0093360280770611,No,0,4,0
87,42,Female,Sales,Director,Master,5.723417008081012,103278.78195715444,1,3,2,3.5253526591743394,No,0,5,0
88,37,Male,R&D,Manager,PhD,14.286724124035327,77573.86042472279,3,3,1,0.5579941634307729,Yes,1,3,0
89,30,Female,Finance,Junior,Bachelor,3.893079886595613,101667.97075135817,3,1,1,9.079023438751616,Yes,1,6,0
90,39,Male,Engineering,Senior,Master,4.608139730714415,66952.17147174774,4,1,3,0.9086925411303464,No,0,2,0
91,35,Female,Sales,Senior,Bachelor,15.563156262900865,68145.56216588942,3,3,2,12.097012943929906,No,1,3,0
92,42,Male,Sales,Director,High School,2.7902658379250207,72726.79567940813,3,3,4,0.5407834021631664,No,0,4,0
93,29,Female,Marketing,Junior,Bachelor,1.1040154470120764,94353.1225169553,3,3,3,0.6114045556195377,Yes,1,5,0
94,32,Male,Marketing,Director,PhD,5.451801130131441,90773.97692557283,2,3,3,3.64312462866788,Yes,0,1,0
95,31,Male,Finance,Senior,High School,2.85953157913458,78376.79699654484,3,4,4,22.688749676755698,Yes,0,3,0
96,23,Male,Sales,Director,High School,2.6110526187678613,44306.616459886965,4,4,3,10.25528891226799,No,0,1,0
97,37,Male,Operations,Lead,Master,0.8776237997655238,90326.47939415814,4,3,2,14.702469675205315,No,0,4,1
98,37,Male,Sales,Director,PhD,4.2358738507358344,53464.88413042572,4,2,1,1.5262929877116242,Yes,0,4,0
99,35,Male,Marketing,Manager,High School,0.2555865282959333,52102.565155007,4,2,3,17.96523398223129,No,0,3,1
100,33,Female,Operations,Director,PhD,7.742419013423046,46537.87275155793,3,4,2,0.08179610180939742,No,0,1,0
101,23,Male,Engineering,Manager,Bachelor,1.1827898241799657,72920.78222994911,4,3,2,2.395999058160122,Yes,1,3,0
102,31,Male,Engineering,Junior,PhD,0.41012238827932357,105293.1074617672,2,2,3,9.573531749612913,No,0,0,0
103,32,Female,R&D,Senior,High School,1.7521602053795953,50865.986390494654,3,4,4,4.703979607346591,No,0,2,0
104,28,Female,HR,Mid-Level,Master,0.13019439617159936,116964.3988293522,4,2,2,41.47327180729011,Yes,0,2,1
105,33,Male,Marketing,Mid-Level,High School,3.4619899765119966,97745.2555613393,2,4,3,0.30809007645608794,Yes,0,8,0
106,38,Male,HR,Senior,PhD,6.990038774860775,38384.94841873439,4,3,2,65.69975281098722,No,0,0,0
107,50,Male,Operations,Mid-Level,PhD,5.446859766183749,65430.620445541965,3,4,3,9.771768189075116,No,0,0,0
108,36,Female,Marketing,Director,High School,0.4087291063854376,48993.74332522987,4,1,1,8.180462128120723,No,0,4,0
109,37,Female,Finance,Junior,PhD,0.40495553094064307,91623.88644339291,4,4,3,0.6135686006165909,No,0,1,0
110,34,Male,Sales,Junior,Bachelor,5.036918401139126,50295.91630823977,3,4,1,3.1928127885732813,Yes,0,0,0
111,19,Female,Finance,Senior,High School,7.741119799767253,34472.01307359551,4,2,3,25.857797594838225,No,0,4,0
112,34,Female,Operations,Mid-Level,Master,1.852282005018103,66856.85558157279,3,2,1,4.373366576165056,No,1,5,0
113,35,Male,Marketing,Director,High School,2.0732745860648794,104234.85184240645,4,3,2,10.836838753917931,No,0,4,0
114,54,Female,Operations,Junior,Bachelor,1.1493297596332006,70187.09440393616,2,4,2,75.9362980695019,No,1,3,0
115,33,Male,Sales,Junior,Bachelor,6.740461300534252,84961.09658391704,4,4,2,3.0526198262850235,No,0,5,0
116,37,Male,Engineering,Lead,Bachelor,3.1060920620520385,85930.77743867601,4,3,1,8.58212594338405,No,1,3,0
117,34,Male,Engineering,Lead,Bachelor,1.0200923061816265,37193.11018147313,3,4,2,11.921687231005237,No,0,1,1
118,25,Male,Operations,Junior,Bachelor,1.0648130945627095,52515.64682113365,5,1,3,1.7987724244425731,No,0,1,0
119,44,Male,HR,Senior,Master,6.65473384830295,75161.60467993993,4,1,3,1.6095845789794148,Yes,1,0,0
120,41,Female,Marketing,Manager,PhD,0.04118346221300399,61066.12540861529,4,5,1,6.093722064501575,No,0,5,0
121,41,Male,Marketing,Manager,Bachelor,1.169040620548359,117611.36375985394,4,4,3,4.874550582872554,No,0,3,0
122,27,Male,Engineering,Director,Bachelor,2.4247091417658932,44291.94012297774,3,3,1,12.525170277418729,No,0,2,0
123,46,Male,R&D,Junior,High School,0.48127206581148185,52268.49741917875,4,4,3,0.7204262954134579,No,1,2,0
124,23,Female,Finance,Junior,Master,0.2898589992820877,82263.60648699365,3,5,2,35.81519393543982,Yes,0,4,0
125,39,Male,R&D,Junior,Master,5.066682756386439,59302.66655541777,2,4,3,0.14379878332041218,Yes,0,3,0
126,52,Male,Sales,Senior,PhD,6.744415403235157,30000.0,5,4,2,9.195882234690131,Yes,1,2,0
127,27,Male,Finance,Lead,Master,5.205112605463846,123367.03073534543,4,4,4,8.26981695389678,No,0,3,0
128,30,Male,Finance,Junior,High School,6.871610587983758,48142.36534433783,3,2,2,1.4469719120616937,No,1,3,0
129,35,Female,Operations,Junior,High School,2.416341630855927,89022.31806704514,3,4,2,1.6359713727672975,Yes,0,2,0
130,30,Female,Engineering,Mid-Level,PhD,5.018061730648524,43665.22071939613,4,2,2,15.734796682086127,Yes,1,3,0
131,22,Male,R&D,Senior,High School,1.453732608035028,53424.127322925255,1,4,3,21.85357397400931,No,0,2,0
132,35,Female,R&D,Director,Bachelor,3.292249764719948,34426.67493296905,2,3,3,3.327031009829335,Yes,0,2,0
133,26,Female,Engineering,Junior,Bachelor,13.485056967046864,56470.164993423,1,4,3,5.7618931008106795,No,0,3,0
134,38,Female,R&D,Mid-Level,High School,0.7674950677984659,58892.95456378626,4,3,4,4.384972739032894,No,0,4,0
135,27,Male,Engineering,Manager,PhD,1.4823959549289818,71685.85806637758,4,1,4,0.753131736414481,Yes,0,5,0
136,47,Male,Operations,Director,Master,1.9620527453074637,65685.77894058877,2,3,3,11.184199087851303,Yes,0,4,0
137,28,Male,HR,Junior,PhD,0.4455539245812353,38962.0043259043,4,5,1,17.44072397845767,Yes,0,3,1
138,32,Female,Finance,Junior,Master,0.2535335132182873,61902.504291401834,3,5,3,3.636698619942641,No,0,5,0
139,41,Male,Operations,Mid-Level,High School,5.310983913463122,111175.26666937018,4,3,2,46.22905901152861,Yes,0,2,0
140,25,Male,Marketing,Senior,High School,11.29008143755626,108209.76363529533,5,5,3,0.7888256795182673,No,0,4,0
141,36,Male,Sales,Junior,Bachelor,1.556195707692817,86392.17572286725,4,4,3,10.84090385220221,No,0,3,0
142,45,Female,HR,Manager,Master,0.27519423317215924,91577.48116850432,4,4,3,5.946203878355092,Yes,0,4,0
143,22,Male,Marketing,Junior,PhD,0.20423196013033,126520.57002838365,5,1,3,5.916776469562384,Yes,0,4,1
144,36,Female,Finance,Manager,High School,6.657992972095107,89281.19148971244,4,5,3,6.118356462494066,No,0,1,0
145,37,Female,R&D,Director,PhD,1.8698238867901593,91104.74651343877,4,4,4,2.993252908166797,No,1,2,0
146,41,Male,Engineering,Director,Bachelor,1.1571079591024793,35885.42434716144,4,4,1,12.57242884011414,No,0,4,0
147,25,Female,Finance,Lead,Master,1.9414328129023972,47184.23596904654,3,4,2,12.786120368530467,Yes,0,3,0
148,24,Male,Operations,Lead,Master,1.1495148216640665,74182.74207496992,3,4,3,3.3183894107986682,Yes,0,3,0
149,39,Female,Sales,Manager,High School,2.014367104848018,54813.94437314382,5,4,4,18.03668870609574,Yes,1,6,0
150,37,Male,Operations,Senior,Master,5.888847817027968,50051.117824420704,4,3,1,3.810334227031547,No,0,4,0
151,37,Female,HR,Junior,High School,2.6916810962448943,52938.52379419378,3,3,1,12.913228713428937,No,1,6,0
152,37,Female,HR,Junior,Bachelor,3.558926925240274,39410.73394547181,3,3,1,1.2897011680560302,No,0,4,0
153,29,Female,Sales,Lead,Master,1.3608353832688955,55215.38784794871,4,1,1,1.8476651463343687,No,1,1,1
154,36,Female,Marketing,Manager,High School,4.024030427080741,83485.88887027247,4,4,4,3.7949864064224896,Yes,0,4,0
155,37,Male,Marketing,Junior,PhD,3.295390663103163,119908.09816211712,4,4,3,9.010912506308687,No,0,3,0
156,29,Female,HR,Junior,High School,0.3820072965272412,94924.55456784047,4,4,3,10.37079332628468,No,0,5,1
157,49,Female,HR,Senior,Master,2.5504056173510827,90903.88712598589,4,2,3,5.047709436699503,No,1,3,0
158,38,Male,R&D,Mid-Level,Bachelor,0.8901422004064927,34411.66539003985,4,3,3,0.8103561631393847,No,1,2,0
159,25,Male,Engineering,Lead,Master,4.890386547875224,77982.41762555043,4,1,1,4.678214552685493,No,0,1,0
160,40,Female,R&D,Lead,Master,1.6650521001481162,73326.00241757151,4,1,2,11.672151089607638,No,0,2,0
161,27,Female,R&D,Mid-Level,High School,15.71119564185052,82268.52742377947,4,1,2,11.116837323554421,No,0,5,0
162,41,Female,Marketing,Junior,PhD,0.2911865862618546,65982.81326306352,3,4,1,1.745872397307371,Yes,0,2,0
163,44,Male,Sales,Senior,Master,4.547130534930623,116551.91852536671,3,1,2,0.07814423499840713,No,0,5,1
164,28,Female,Marketing,Senior,PhD,3.359830164365823,76319.38790744556,5,4,2,13.9829252122112,Yes,0,4,0
165,42,Male,Engineering,Lead,High School,4.376580072749937,78755.58387342181,2,2,1,1.1246140785231478,No,1,1,0
166,38,Female,Operations,Senior,PhD,1.1024702034758573,30000.0,3,4,1,0.8593829182164857,Yes,0,2,1
167,41,Male,HR,Director,High School,2.032143299161428,72333.10795139197,4,4,3,0.027048717035695898,No,0,1,0
168,50,Female,HR,Mid-Level,Bachelor,4.776393422820181,103731.48375076587,4,5,1,5.666930935098826,No,0,2,1
169,33,Female,Engineering,Junior,PhD,0.7940119597368009,88889.3902035259,3,4,4,6.996963816374123,No,1,2,0
170,28,Male,R&D,Director,PhD,0.7686788886600827,30000.0,3,5,1,10.151834482145944,Yes,1,3,0
171,27,Female,Sales,Mid-Level,Bachelor,2.4025376382159847,63758.12317134439,2,4,3,3.510676097664087,Yes,0,3,0
172,28,Male,HR,Manager,PhD,2.2242629852205167,118297.48668407509,4,4,3,12.393399687522411,No,1,6,0
173,34,Female,Finance,Lead,Bachelor,0.9949540033337648,71233.98199296188,3,2,4,1.855249109470596,No,1,6,0
174,37,Female,R&D,Senior,Master,1.0617889351310625,83060.39956777818,3,3,3,17.837320936550796,No,0,2,0
175,37,Male,HR,Manager,High School,0.9765471230670384,115475.23218218255,3,2,2,8.48277774423884,No,0,4,0
176,41,Female,Finance,Senior,Bachelor,4.428815573342254,71134.64646132736,4,4,2,8.768052061234798,No,1,5,0
177,35,Female,Engineering,Director,PhD,3.165803912105292,94775.74649894758,3,3,2,2.354380875672196,No,0,3,0
178,46,Male,Engineering,Junior,Bachelor,5.358832867513479,85284.89692895903,2,4,1,0.7699849108178809,No,0,3,0
179,32,Male,R&D,Junior,PhD,11.123945645457498,90628.7215877598,4,5,1,6.249742775725521,No,0,3,0
180,56,Female,HR,Junior,Master,1.9282993960887638,84480.39142083675,5,3,3,9.561026947792614,No,0,5,0
181,40,Female,Marketing,Senior,Bachelor,0.20706609168230491,61309.253037130344,4,3,3,0.9987167213769889,Yes,1,2,0
182,28,Female,Finance,Manager,Master,0.14786164083203576,63805.061214433255,5,5,3,30.06479307159497,Yes,0,3,0
183,26,Female,Sales,Junior,High School,1.0515037184705271,53635.59549079188,4,3,4,39.32958646214915,No,0,3,0
184,38,Male,HR,Manager,PhD,8.088865447152024,34007.272028242776,1,4,3,7.884620902389383,Yes,1,3,0
185,33,Female,Sales,Senior,PhD,2.2220566319933472,106113.24776691607,4,2,3,29.9711633639535,No,0,2,0
186,40,Male,HR,Director,Master,0.9514830798939322,75252.07417203025,3,4,3,1.9777462793799847,No,0,3,1
187,38,Male,Marketing,Manager,High School,1.5283137338086834,104854.00456311143,4,3,1,0.257493730741082,No,1,2,0
188,34,Male,Marketing,Director,Bachelor,2.738353961600266,114134.31686461624,3,4,2,0.40207116190842307,No,0,5,0
189,28,Male,R&D,Senior,Bachelor,3.174856296436289,76335.4370227386,3,4,4,8.855493268208654,Yes,0,4,1
190,22,Male,R&D,Senior,PhD,0.5014223454031539,42162.771707734384,5,2,4,0.6362361545738462,Yes,0,4,1
191,31,Male,Marketing,Lead,Master,11.320917760247376,70095.29635368835,3,2,3,31.831614156609337,No,0,2,0
192,41,Female,Operations,Senior,Master,2.3608721557552728,58221.40983092196,4,3,2,1.5307333958601512,Yes,1,3,0
193,36,Male,Marketing,Senior,Bachelor,0.4374654958029807,30000.0,1,5,3,3.6344467272141854,No,0,5,0
194,25,Male,Engineering,Mid-Level,High School,6.722643256251284,62456.777376778045,2,4,1,17.288849680447825,No,0,2,1
195,36,Male,Engineering,Junior,High School,0.2327121975778194,73211.56969838717,4,3,1,2.468476915814761,No,0,5,1
196,38,Male,Operations,Lead,Bachelor,7.149285307777526,58916.89010588363,4,3,2,2.783503599062013,No,0,0,0
197,27,Male,Finance,Lead,Bachelor,17.02178829283656,55711.37282621283,4,3,2,10.28085670187486,No,1,2,0
198,36,Male,Sales,Lead,Master,3.6162395150364164,43061.60444667614,3,4,2,3.2308280041951383,No,1,0,1
199,35,Female,HR,Mid-Level,High School,4.414866907162749,79898.05370885694,4,4,2,2.4519443741105533,Yes,1,1,0
200,25,Female,HR,Director,Bachelor,1.234311480196039,121731.73208040601,4,3,1,2.9326793008780134,No,0,3,0
201,37,Female,Operations,Senior,Bachelor,8.520129331143313,106965.5972012787,4,4,2,6.746149664474169,No,1,4,0
202,39,Male,Engineering,Junior,PhD,2.263242559923779,91340.67219967413,4,4,3,33.843365103692136,No,0,3,0
203,43,Male,R&D,Manager,Bachelor,3.9546563325311848,91885.22797327602,5,5,3,17.85208622323242,Yes,1,6,0
204,43,Female,HR,Director,Bachelor,7.735320775974925,71683.92139352187,4,5,1,3.3492780026151907,Yes,1,3,0
205,23,Male,Engineering,Senior,High School,11.088313593771735,30000.0,5,4,2,4.515716797198281,No,0,3,0
206,27,Male,Finance,Mid-Level,Master,5.372957724251063,65764.20776348251,4,4,3,6.245772661143251,No,0,5,0
207,39,Male,Sales,Senior,High School,1.0829849584750284,50768.05781669624,4,3,3,38.59888298434529,No,0,5,0
208,39,Male,Finance,Senior,Master,10.19288775473651,78867.41873363308,2,4,2,1.89213815941349,No,0,1,0
209,39,Male,Operations,Mid-Level,PhD,2.9675483906722038,105830.36759846887,3,3,3,4.423621644914419,No,1,3,0
210,65,Male,Marketing,Lead,Bachelor,8.005441950090423,124335.23975621151,4,3,4,13.072099979864635,Yes,0,3,0
211,39,Male,Marketing,Lead,PhD,3.3820079084609684,76615.52577951331,3,3,1,33.22674623667079,No,0,4,0
212,44,Male,Marketing,Junior,Master,1.1012104846445798,33321.09157056611,2,4,2,1.6921803941030291,No,0,6,0
213,42,Female,Finance,Junior,High School,1.3862231626951835,76566.90125404946,3,2,2,2.5796788318225556,No,1,4,0
214,40,Female,HR,Lead,High School,2.398669919186403,77246.40407283456,3,3,3,2.5578900564647173,No,0,5,0
215,32,Female,Sales,Director,PhD,4.682155274570627,91971.09676315496,5,3,1,0.21154210355109543,No,0,4,1
216,41,Female,Marketing,Manager,Master,1.1481001107629711,74520.11123997923,4,1,1,9.266330926379053,No,0,3,0
217,28,Female,Operations,Senior,PhD,2.6005820755082487,76662.95684901699,4,2,2,11.10795425039366,Yes,0,2,0
218,33,Male,Operations,Manager,PhD,1.2722240626228454,59198.481052823525,2,4,4,9.226254793995313,No,0,3,0
219,31,Male,Marketing,Senior,Bachelor,5.074701211016174,67202.45042227802,4,4,3,0.739942749082218,No,1,2,0
220,35,Male,Marketing,Lead,PhD,1.8861715256115739,87830.81067037956,4,3,3,0.7174321351141189,No,0,4,0
221,53,Female,Sales,Junior,Bachelor,0.23947738087514625,30000.0,5,4,3,2.362117627582546,No,0,3,0
222,20,Female,Marketing,Director,Bachelor,0.5447545620118486,67067.78585840437,4,4,1,3.4290520584813495,Yes,0,2,1
223,40,Male,Sales,Junior,High School,0.18915381930106184,92197.49919989775,3,3,3,15.443229445522299,Yes,0,4,0
224,22,Female,Operations,Manager,Bachelor,2.0752621303646706,116018.22352513834,4,4,3,1.7362777635554447,No,0,1,0
225,31,Male,Marketing,Junior,Bachelor,0.3372805952973825,65041.58889674408,5,5,2,0.45093831250239713,No,0,3,0
226,43,Female,Finance,Lead,High School,0.363588959285443,104634.24452059469,4,3,3,5.0085467879040255,No,0,3,0
227,35,Male,R&D,Director,PhD,8.493108409637738,117250.59613544858,4,2,3,5.385260459429039,No,0,3,0
228,26,Male,Finance,Manager,Master,6.182567720940143,65365.43997343305,3,5,3,5.994880688167576,No,0,4,1
229,29,Male,Operations,Director,Master,1.8049140836986084,61044.78667920451,4,4,1,17.539062908799792,Yes,1,0,0
230,40,Male,Sales,Senior,Master,12.764664277069162,70448.13824770183,4,2,4,1.0314676212039477,No,0,2,0
231,29,Male,Finance,Junior,PhD,0.0005596367076177557,72951.20537342262,3,4,4,12.172001763050925,No,1,2,1
232,36,Male,Sales,Director,Bachelor,2.855594066531694,102270.56669638799,4,3,2,4.124075074601051,No,1,2,0
233,35,Female,Finance,Mid-Level,Master,2.874685181277319,55656.87051226011,3,4,1,3.710348940305108,Yes,0,5,1
234,29,Male,Finance,Junior,PhD,1.8343866988128814,113451.63590263674,3,3,1,26.96266790267893,No,1,2,0
235,52,Male,Sales,Senior,Bachelor,1.5172554168077457,54981.06118184455,1,3,4,2.856421869892146,Yes,0,2,0
